date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,709.85,712.05,701.0,712.0,13601
2024-01-01 09:30:00+05:30,712.1,712.3,707.4,710.0,8563
2024-01-01 09:45:00+05:30,710.2,710.5,708.9,709.65,5165
2024-01-01 10:00:00+05:30,709.65,709.8,706.0,708.9,8909
2024-01-01 10:15:00+05:30,708.9,711.35,708.75,710.7,8598
2024-01-01 10:30:00+05:30,710.9,713.1,710.5,710.65,6125
2024-01-01 10:45:00+05:30,710.65,714.2,710.5,713.6,4746
2024-01-01 11:00:00+05:30,713.6,713.6,710.5,712.55,5833
2024-01-01 11:15:00+05:30,712.75,714.4,710.0,710.0,6762
2024-01-01 11:30:00+05:30,710.05,712.6,709.6,710.85,3954
2024-01-01 11:45:00+05:30,710.85,711.0,710.05,711.0,4630
2024-01-01 12:00:00+05:30,710.75,710.95,709.15,710.0,4166
2024-01-01 12:15:00+05:30,710.05,710.65,709.2,710.25,3218
2024-01-01 12:30:00+05:30,710.25,710.95,709.35,710.75,4058
2024-01-01 12:45:00+05:30,710.75,711.0,709.95,710.55,3344
2024-01-01 13:00:00+05:30,710.55,711.0,709.55,710.9,5628
2024-01-01 13:15:00+05:30,710.9,711.0,707.15,709.9,8053
2024-01-01 13:30:00+05:30,709.95,710.95,708.05,709.8,6244
2024-01-01 13:45:00+05:30,709.35,711.0,709.35,710.9,2918
2024-01-01 14:00:00+05:30,710.9,711.0,710.0,710.6,4692
2024-01-01 14:15:00+05:30,710.95,711.0,709.65,710.05,4956
2024-01-01 14:30:00+05:30,710.05,711.0,709.8,710.9,5771
2024-01-01 14:45:00+05:30,710.9,713.0,710.5,711.45,5371
2024-01-01 15:00:00+05:30,711.85,712.25,702.05,702.5,14366
2024-01-01 15:15:00+05:30,702.5,707.05,693.1,693.7,19839
2024-01-02 09:15:00+05:30,695.25,699.95,688.35,690.75,21439
2024-01-02 09:30:00+05:30,690.4,691.2,685.6,686.6,21452
2024-01-02 09:45:00+05:30,686.6,689.45,682.15,682.95,15642
2024-01-02 10:00:00+05:30,683.0,687.5,681.0,684.75,8959
2024-01-02 10:15:00+05:30,684.1,684.85,680.0,680.15,8180
2024-01-02 10:30:00+05:30,679.65,682.1,678.1,680.15,14816
2024-01-02 10:45:00+05:30,680.15,681.35,677.1,679.6,12379
2024-01-02 11:00:00+05:30,679.3,679.8,677.4,678.4,5143
2024-01-02 11:15:00+05:30,678.4,681.75,677.25,679.4,9089
2024-01-02 11:30:00+05:30,679.4,680.0,679.0,679.0,1681
2024-01-02 11:45:00+05:30,679.0,680.0,679.0,679.2,2094
2024-01-02 12:00:00+05:30,679.2,680.0,679.0,679.3,2024
2024-01-02 12:15:00+05:30,679.3,679.95,678.95,679.3,4065
2024-01-02 12:30:00+05:30,679.3,680.3,679.0,680.3,2047
2024-01-02 12:45:00+05:30,679.8,681.0,679.45,679.75,6205
2024-01-02 13:00:00+05:30,679.75,680.5,678.0,678.45,6522
